Dossier,Regex,"RobBERT (line, unfiltered)",GPT-5.5 (text),GPT-5.5 (vision+text),Average,Range (max-min),Std dev
Dossier 1,1.000,0.983,0.983,0.983,0.987,0.017,0.007
Dossier 2,1.000,0.941,1.000,1.000,0.985,0.059,0.025
Dossier 3,0.968,0.922,0.958,0.958,0.951,0.045,0.017
Dossier 4,0.947,0.783,0.958,0.972,0.915,0.189,0.077
Dossier 5,0.924,0.856,0.934,0.919,0.908,0.078,0.031
Dossier 6,0.844,0.769,0.964,0.968,0.886,0.199,0.084
Dossier 7,0.996,0.523,1.000,1.000,0.880,0.477,0.206
Dossier 8,0.934,0.519,0.979,0.900,0.833,0.460,0.183
Dossier 9,0.775,0.633,0.875,0.744,0.757,0.242,0.086
Dossier 10,0.759,0.757,0.692,0.692,0.725,0.066,0.033
