approach,dossier_id,iou_threshold,precision,recall,f1
Regex,4110332,0.3,1.0,0.9917,0.9958
Regex,108997013,0.3,0.9962,0.9253,0.9594
Regex,9585044,0.3,0.9922,0.8767,0.9309
Regex,269893775,0.3,0.9854,0.9643,0.9747
Regex,22324346,0.3,0.839,0.8839,0.8609
Regex,32680869,0.3,0.9,1.0,0.9474
Regex,21390238,0.3,0.7302,0.9583,0.8288
Regex,230911848,0.3,1.0,1.0,1.0
Regex,994819,0.3,1.0,1.0,1.0
Regex,12890358,0.3,0.7857,0.7333,0.7586
Regex,4110332,0.5,1.0,0.9917,0.9958
Regex,108997013,0.5,0.9693,0.9004,0.9336
Regex,9585044,0.5,0.9845,0.8699,0.9236
Regex,269893775,0.5,0.9781,0.9571,0.9675
Regex,22324346,0.5,0.822,0.8661,0.8435
Regex,32680869,0.5,0.9,1.0,0.9474
Regex,21390238,0.5,0.6825,0.8958,0.7748
Regex,230911848,0.5,1.0,1.0,1.0
Regex,994819,0.5,1.0,1.0,1.0
Regex,12890358,0.5,0.7857,0.7333,0.7586
Regex,4110332,0.7,0.9916,0.9833,0.9874
Regex,108997013,0.7,0.9464,0.879,0.9114
Regex,9585044,0.7,0.907,0.8014,0.8509
Regex,269893775,0.7,0.9489,0.9286,0.9386
Regex,22324346,0.7,0.7627,0.8036,0.7826
Regex,32680869,0.7,0.9,1.0,0.9474
Regex,21390238,0.7,0.6508,0.8542,0.7387
Regex,230911848,0.7,1.0,1.0,1.0
Regex,994819,0.7,1.0,1.0,1.0
Regex,12890358,0.7,0.6429,0.6,0.6207
Regex,4110332,0.9,0.9916,0.9833,0.9874
Regex,108997013,0.9,0.9425,0.8754,0.9077
Regex,9585044,0.9,0.8605,0.7603,0.8073
Regex,269893775,0.9,0.927,0.9071,0.917
Regex,22324346,0.9,0.5847,0.6161,0.6
Regex,32680869,0.9,0.875,0.9722,0.9211
Regex,21390238,0.9,0.4921,0.6458,0.5586
Regex,230911848,0.9,1.0,1.0,1.0
Regex,994819,0.9,1.0,1.0,1.0
Regex,12890358,0.9,0.4286,0.4,0.4138
Regex,4110332,1.0,0.9916,0.9833,0.9874
Regex,108997013,1.0,0.931,0.8648,0.8967
Regex,9585044,1.0,0.7984,0.7055,0.7491
Regex,269893775,1.0,0.8832,0.8643,0.8736
Regex,22324346,1.0,0.5254,0.5536,0.5391
Regex,32680869,1.0,0.7875,0.875,0.8289
Regex,21390238,1.0,0.3651,0.4792,0.4144
Regex,230911848,1.0,0.9535,0.9535,0.9535
Regex,994819,1.0,1.0,1.0,1.0
Regex,12890358,1.0,0.3571,0.3333,0.3448
GPT-5.5 (text),4110332,0.3,1.0,1.0,1.0
GPT-5.5 (text),108997013,0.3,0.9719,0.9858,0.9788
GPT-5.5 (text),9585044,0.3,0.958,0.9384,0.9481
GPT-5.5 (text),269893775,0.3,0.9444,0.9714,0.9577
GPT-5.5 (text),22324346,0.3,0.9815,0.9464,0.9636
GPT-5.5 (text),32680869,0.3,0.9583,0.9583,0.9583
GPT-5.5 (text),21390238,0.3,0.9167,0.9167,0.9167
GPT-5.5 (text),230911848,0.3,1.0,1.0,1.0
GPT-5.5 (text),994819,0.3,1.0,0.9667,0.9831
GPT-5.5 (text),12890358,0.3,1.0,0.7333,0.8462
GPT-5.5 (text),4110332,0.5,1.0,1.0,1.0
GPT-5.5 (text),108997013,0.5,0.9719,0.9858,0.9788
GPT-5.5 (text),9585044,0.5,0.9441,0.9247,0.9343
GPT-5.5 (text),269893775,0.5,0.9444,0.9714,0.9577
GPT-5.5 (text),22324346,0.5,0.9815,0.9464,0.9636
GPT-5.5 (text),32680869,0.5,0.9583,0.9583,0.9583
GPT-5.5 (text),21390238,0.5,0.875,0.875,0.875
GPT-5.5 (text),230911848,0.5,1.0,1.0,1.0
GPT-5.5 (text),994819,0.5,1.0,0.9667,0.9831
GPT-5.5 (text),12890358,0.5,0.8182,0.6,0.6923
GPT-5.5 (text),4110332,0.7,1.0,1.0,1.0
GPT-5.5 (text),108997013,0.7,0.9509,0.9644,0.9576
GPT-5.5 (text),9585044,0.7,0.8951,0.8767,0.8858
GPT-5.5 (text),269893775,0.7,0.9167,0.9429,0.9296
GPT-5.5 (text),22324346,0.7,0.9074,0.875,0.8909
GPT-5.5 (text),32680869,0.7,0.8889,0.8889,0.8889
GPT-5.5 (text),21390238,0.7,0.7708,0.7708,0.7708
GPT-5.5 (text),230911848,0.7,1.0,1.0,1.0
GPT-5.5 (text),994819,0.7,1.0,0.9667,0.9831
GPT-5.5 (text),12890358,0.7,0.7273,0.5333,0.6154
GPT-5.5 (text),4110332,0.9,1.0,1.0,1.0
GPT-5.5 (text),108997013,0.9,0.9368,0.9502,0.9435
GPT-5.5 (text),9585044,0.9,0.8252,0.8082,0.8166
GPT-5.5 (text),269893775,0.9,0.8889,0.9143,0.9014
GPT-5.5 (text),22324346,0.9,0.6481,0.625,0.6364
GPT-5.5 (text),32680869,0.9,0.8194,0.8194,0.8194
GPT-5.5 (text),21390238,0.9,0.5,0.5,0.5
GPT-5.5 (text),230911848,0.9,1.0,1.0,1.0
GPT-5.5 (text),994819,0.9,0.9655,0.9333,0.9492
GPT-5.5 (text),12890358,0.9,0.1818,0.1333,0.1538
GPT-5.5 (text),4110332,1.0,1.0,1.0,1.0
GPT-5.5 (text),108997013,1.0,0.9333,0.9466,0.9399
GPT-5.5 (text),9585044,1.0,0.5315,0.5205,0.526
GPT-5.5 (text),269893775,1.0,0.8472,0.8714,0.8592
GPT-5.5 (text),22324346,1.0,0.4352,0.4196,0.4273
GPT-5.5 (text),32680869,1.0,0.375,0.375,0.375
GPT-5.5 (text),21390238,1.0,0.2083,0.2083,0.2083
GPT-5.5 (text),230911848,1.0,0.7209,0.7209,0.7209
GPT-5.5 (text),994819,1.0,0.9655,0.9333,0.9492
GPT-5.5 (text),12890358,1.0,0.0,0.0,0.0
GPT-5.5 (vision+text),4110332,0.3,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,0.3,0.9597,0.847,0.8998
GPT-5.5 (vision+text),9585044,0.3,0.964,0.9178,0.9404
GPT-5.5 (vision+text),269893775,0.3,0.9444,0.9714,0.9577
GPT-5.5 (vision+text),22324346,0.3,0.9817,0.9554,0.9683
GPT-5.5 (vision+text),32680869,0.3,0.9857,0.9583,0.9718
GPT-5.5 (vision+text),21390238,0.3,0.9474,0.75,0.8372
GPT-5.5 (vision+text),230911848,0.3,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.3,1.0,0.9667,0.9831
GPT-5.5 (vision+text),12890358,0.3,1.0,0.7333,0.8462
GPT-5.5 (vision+text),4110332,0.5,1.0,1.0,1.0
GPT-5.5 (vision+text),108997013,0.5,0.9597,0.847,0.8998
GPT-5.5 (vision+text),9585044,0.5,0.9424,0.8973,0.9193
GPT-5.5 (vision+text),269893775,0.5,0.9444,0.9714,0.9577
GPT-5.5 (vision+text),22324346,0.5,0.9817,0.9554,0.9683
GPT-5.5 (vision+text),32680869,0.5,0.9857,0.9583,0.9718
GPT-5.5 (vision+text),21390238,0.5,0.8421,0.6667,0.7442
GPT-5.5 (vision+text),230911848,0.5,1.0,1.0,1.0
GPT-5.5 (vision+text),994819,0.5,1.0,0.9667,0.9831
GPT-5.5 (vision+text),12890358,0.5,0.8182,0.6,0.6923
GPT-5.5 (vision+text),4110332,0.7,1.0,1.0,1.0
