approach,dossier_id,precision,recall,f1,n_pred,n_true
Regex,108997013,0.9693,0.9004,0.9336,261,281
Regex,9585044,0.9845,0.8699,0.9236,129,146
Regex,269893775,0.9781,0.9571,0.9675,137,140
Regex,4110332,1.0,0.9917,0.9958,119,120
Regex,22324346,0.822,0.8661,0.8435,118,112
Regex,32680869,0.9,1.0,0.9474,80,72
Regex,21390238,0.6825,0.8958,0.7748,63,48
Regex,230911848,1.0,1.0,1.0,43,43
Regex,994819,1.0,1.0,1.0,30,30
Regex,12890358,0.7857,0.7333,0.7586,14,15
RobBERT (token BIO),47364180,0.3293,0.8852,0.48,328,122
RobBERT (token BIO),4110332,0.4096,1.0,0.5811,293,120
RobBERT (line + proximity filter),108997013,0.3575,0.9466,0.519,744,281
RobBERT (line + proximity filter),9585044,0.8777,0.8356,0.8561,139,146
RobBERT (line + proximity filter),269893775,0.8774,0.9714,0.922,155,140
RobBERT (line + proximity filter),4110332,0.3552,0.9917,0.5231,335,120
RobBERT (line + proximity filter),22324346,0.6757,0.8929,0.7692,148,112
RobBERT (line + proximity filter),32680869,0.7887,0.7778,0.7832,71,72
RobBERT (line + proximity filter),21390238,0.4835,0.9167,0.6331,91,48
RobBERT (line + proximity filter),230911848,0.9524,0.9302,0.9412,42,43
RobBERT (line + proximity filter),994819,1.0,0.9667,0.9831,29,30
RobBERT (line + proximity filter),12890358,0.6364,0.9333,0.7568,22,15
GPT-5.5 (text),108997013,0.9719,0.9858,0.9788,285,281
GPT-5.5 (text),9585044,0.9441,0.9247,0.9343,143,146
GPT-5.5 (text),269893775,0.9444,0.9714,0.9577,144,140
GPT-5.5 (text),4110332,1.0,1.0,1.0,120,120
GPT-5.5 (text),22324346,0.9815,0.9464,0.9636,108,112
GPT-5.5 (text),32680869,0.9583,0.9583,0.9583,72,72
GPT-5.5 (text),21390238,0.875,0.875,0.875,48,48
GPT-5.5 (text),230911848,1.0,1.0,1.0,43,43
GPT-5.5 (text),994819,1.0,0.9667,0.9831,29,30
GPT-5.5 (text),12890358,0.8182,0.6,0.6923,11,15
GPT-5.5 (vision+text),108997013,0.9597,0.847,0.8998,248,281
GPT-5.5 (vision+text),9585044,0.9424,0.8973,0.9193,139,146
GPT-5.5 (vision+text),269893775,0.9444,0.9714,0.9577,144,140
GPT-5.5 (vision+text),4110332,1.0,1.0,1.0,120,120
GPT-5.5 (vision+text),22324346,0.9817,0.9554,0.9683,109,112
GPT-5.5 (vision+text),32680869,0.9857,0.9583,0.9718,70,72
GPT-5.5 (vision+text),21390238,0.8421,0.6667,0.7442,38,48
GPT-5.5 (vision+text),230911848,1.0,1.0,1.0,43,43
GPT-5.5 (vision+text),994819,1.0,0.9667,0.9831,29,30
GPT-5.5 (vision+text),12890358,0.8182,0.6,0.6923,11,15
