dossier_id,n_true,n_pred_raw,n_pred_filtered,precision_raw,recall_raw,f1_raw,precision_filtered,recall_filtered,f1_filtered
108997013,281,744,241,0.3575,0.9466,0.519,0.9253,0.7936,0.8544
9585044,146,139,124,0.8777,0.8356,0.8561,0.9919,0.8425,0.9111
269893775,140,155,143,0.8774,0.9714,0.922,0.951,0.9714,0.9611
4110332,120,335,111,0.3552,0.9917,0.5231,0.991,0.9167,0.9524
22324346,112,148,105,0.6757,0.8929,0.7692,0.9524,0.8929,0.9217
32680869,72,71,63,0.7887,0.7778,0.7832,0.8889,0.7778,0.8296
21390238,48,91,44,0.4835,0.9167,0.6331,0.9318,0.8542,0.8913
230911848,43,42,39,0.9524,0.9302,0.9412,1.0,0.907,0.9512
994819,30,29,29,1.0,0.9667,0.9831,1.0,0.9667,0.9831
12890358,15,22,15,0.6364,0.9333,0.7568,0.9333,0.9333,0.9333
