Dossier,Regex,RobBERT (unweighted),RobBERT (class-weighted),GPT-5.5 (text),GPT-5.5 (vision+text),Average,Range (max-min),Std dev
Dossier 1,0.974,0.842,0.842,0.920,0.987,0.913,0.145,0.062
Dossier 2,0.958,0.667,0.657,1.000,1.000,0.856,0.343,0.160
Dossier 3,0.993,0.643,0.615,0.952,0.951,0.831,0.378,0.166
Dossier 4,0.933,0.653,0.656,0.911,0.895,0.810,0.280,0.127
Dossier 5,0.956,0.685,0.583,0.927,0.873,0.805,0.373,0.146
Dossier 6,0.761,0.726,0.658,0.934,0.920,0.800,0.276,0.109
Dossier 7,0.947,0.666,0.655,0.793,0.783,0.769,0.291,0.106
Dossier 8,0.910,0.739,0.653,0.738,0.716,0.751,0.258,0.086
Dossier 9,0.801,0.645,0.554,0.869,0.849,0.744,0.315,0.123
Dossier 10,0.945,0.531,0.485,0.883,0.807,0.730,0.460,0.187
Dossier 11,0.956,0.506,0.479,0.829,0.838,0.722,0.477,0.192
Dossier 12,0.747,0.593,0.520,0.784,0.828,0.695,0.307,0.118
Dossier 13,0.865,0.530,0.496,0.745,0.746,0.676,0.370,0.141
Dossier 14,0.773,0.606,0.576,0.668,0.705,0.665,0.197,0.070
Dossier 15,0.739,0.453,0.433,0.704,0.803,0.626,0.371,0.154
Dossier 16,0.723,0.486,0.436,0.674,0.798,0.624,0.362,0.139
Dossier 17,0.582,0.602,0.541,0.687,0.690,0.621,0.149,0.059
Dossier 18,0.724,0.464,0.442,0.685,0.711,0.605,0.282,0.125
Dossier 19,0.797,0.408,0.369,0.673,0.683,0.586,0.428,0.167
Dossier 20,0.679,0.466,0.391,0.699,0.651,0.577,0.308,0.125
