Dossier,Regex,RobBERT (unweighted),RobBERT (class-weighted),GPT-5.5 (text),GPT-5.5 (vision+text),Average,Range (max-min),Std dev
Dossier 1,0.987,0.994,0.994,0.965,0.987,0.985,0.029,0.011
Dossier 2,0.997,0.974,0.928,0.982,0.985,0.973,0.069,0.024
Dossier 3,1.000,0.958,0.897,1.000,1.000,0.971,0.103,0.040
Dossier 4,0.968,0.954,0.943,0.850,0.856,0.914,0.118,0.051
Dossier 5,0.956,0.884,0.847,0.956,0.900,0.909,0.109,0.042
Dossier 6,0.828,0.990,0.881,0.909,0.909,0.904,0.162,0.053
Dossier 7,0.988,0.788,0.932,0.911,0.895,0.903,0.200,0.065
Dossier 8,0.977,0.897,0.877,0.881,0.875,0.901,0.102,0.038
Dossier 9,0.947,0.916,0.829,0.872,0.860,0.885,0.118,0.042
Dossier 10,0.911,0.936,0.896,0.790,0.798,0.866,0.146,0.060
Dossier 11,0.928,0.910,0.836,0.836,0.809,0.864,0.120,0.047
Dossier 12,0.956,0.774,0.790,0.913,0.832,0.853,0.182,0.071
Dossier 13,0.771,0.835,0.767,0.945,0.930,0.850,0.178,0.076
Dossier 14,0.782,0.798,0.863,0.833,0.873,0.830,0.091,0.035
Dossier 15,0.778,0.811,0.920,0.728,0.760,0.799,0.192,0.066
Dossier 16,0.759,0.784,0.845,0.753,0.852,0.799,0.099,0.042
Dossier 17,0.746,0.750,0.814,0.725,0.840,0.775,0.115,0.044
Dossier 18,0.737,0.759,0.826,0.781,0.771,0.775,0.089,0.029
Dossier 19,0.740,0.751,0.852,0.726,0.776,0.769,0.126,0.045
Dossier 20,0.686,0.751,0.811,0.730,0.735,0.742,0.125,0.040
