approach,field,exact_p,exact_r,exact_f1,anls_p,anls_r,anls_f1
Regex,FROM,1.0,0.9819,0.9909,1.0,0.9819,0.9909
Regex,TO,0.9308,0.8862,0.908,0.9748,0.9281,0.9509
Regex,CC,0.8933,0.859,0.8758,0.9333,0.8974,0.915
Regex,DATE,1.0,0.9545,0.9767,1.0,0.9545,0.9767
Regex,SUBJECT,0.9394,0.8807,0.9091,1.0,0.9375,0.9677
Regex,ATTACHMENT,0.7692,0.5263,0.625,0.8462,0.5789,0.6875
BERT,FROM,0.7236,0.5361,0.6159,0.9106,0.6747,0.7751
BERT,TO,0.8286,0.3473,0.4895,0.9429,0.3952,0.557
BERT,CC,0.0,0.0,0.0,0.0,0.0,0.0
BERT,DATE,0.7714,0.767,0.7692,0.96,0.9545,0.9573
BERT,SUBJECT,0.0,0.0,0.0,0.0,0.0,0.0
BERT,ATTACHMENT,0.0,0.0,0.0,0.0,0.0,0.0
BERT (weighted),FROM,0.5912,0.6446,0.6167,0.9116,0.994,0.951
BERT (weighted),TO,0.5026,0.5808,0.5389,0.8342,0.9641,0.8944
BERT (weighted),CC,0.5111,0.5897,0.5476,0.8333,0.9615,0.8929
BERT (weighted),DATE,0.7609,0.7955,0.7778,0.9565,1.0,0.9778
BERT (weighted),SUBJECT,0.3005,0.3125,0.3064,0.9399,0.9773,0.9582
BERT (weighted),ATTACHMENT,0.0,0.0,0.0,0.4324,0.8421,0.5714
BERT (CRF v2),FROM,0.1772,0.1687,0.1728,0.4114,0.3916,0.4012
BERT (CRF v2),TO,0.0,0.0,0.0,0.1135,0.1257,0.1193
BERT (CRF v2),CC,0.0,0.0,0.0,0.0115,0.0128,0.0121
BERT (CRF v2),DATE,0.0,0.0,0.0,0.1598,0.1761,0.1676
BERT (CRF v2),SUBJECT,0.0,0.0,0.0,0.0694,0.0682,0.0688
BERT (CRF v2),ATTACHMENT,0.0,0.0,0.0,0.0,0.0,0.0
GPT-5.5 v3 (text),FROM,0.9939,0.9819,0.9879,0.9939,0.9819,0.9879
GPT-5.5 v3 (text),TO,0.9623,0.9162,0.9387,0.9874,0.9401,0.9632
GPT-5.5 v3 (text),CC,0.2545,0.5385,0.3457,0.3212,0.6795,0.4362
GPT-5.5 v3 (text),DATE,1.0,0.9659,0.9827,1.0,0.9659,0.9827
GPT-5.5 v3 (text),SUBJECT,0.9412,0.9091,0.9249,1.0,0.9659,0.9827
GPT-5.5 v3 (text),ATTACHMENT,0.2059,0.3684,0.2642,0.3824,0.6842,0.4906
GPT-5.5 (vision),ATTACHMENT,0.6667,0.3158,0.4286,,,
GPT-5.5 (vision),CC,0.4222,0.2436,0.3089,,,
GPT-5.5 (vision),DATE,1.0,0.56,0.7179,,,
GPT-5.5 (vision),FROM,1.0,0.5879,0.7405,,,
GPT-5.5 (vision),SUBJECT,0.9592,0.5371,0.6886,,,
GPT-5.5 (vision),TO,1.0,0.5602,0.7181,,,
GPT-5.5 v2 (vision),ATTACHMENT,0.5,0.3158,0.3871,,,
GPT-5.5 v2 (vision),CC,0.451,0.2987,0.3594,,,
GPT-5.5 v2 (vision),DATE,1.0,0.6,0.75,,,
GPT-5.5 v2 (vision),FROM,0.9904,0.6242,0.7658,,,
GPT-5.5 v2 (vision),SUBJECT,0.9714,0.5829,0.7286,,,
GPT-5.5 v2 (vision),TO,0.99,0.5964,0.7444,,,
GPT-5.5 v3 (vision),FROM,0.9877,0.9639,0.9756,0.9877,0.9639,0.9756
GPT-5.5 v3 (vision),TO,0.9494,0.8982,0.9231,0.981,0.9281,0.9538
GPT-5.5 v3 (vision),CC,0.2905,0.5513,0.3805,0.3581,0.6795,0.469
GPT-5.5 v3 (vision),DATE,1.0,0.9432,0.9708,1.0,0.9432,0.9708
GPT-5.5 v3 (vision),SUBJECT,0.9337,0.8807,0.9064,1.0,0.9432,0.9708
GPT-5.5 v3 (vision),ATTACHMENT,0.2812,0.4737,0.3529,0.4688,0.7895,0.5882
